Title,Link,Type,Number,Month,Day,Year,Date,Description
DECRETO 03 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 03 DEL 05 DE ENERO DE 2016.pdf,DECRETO,3,1,5,2016,2016-01-05,Por el cual se efectúa un nombramiento
DECRETO 04 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 04 DEL 05 DE ENERO DE 2016.pdf,DECRETO,4,1,5,2016,2016-01-05,Por el cual se modifica la planta de personal del Departamento Administrativo de la Presidencia de la República
DECRETO 07 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 07 DEL 05 DE ENERO DE 2016.pdf,DECRETO,7,1,5,2016,2016-01-05,Por el cual se modifica la estructura del Departamento Administrativo de la Presidencia de la República
DECRETO 08 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 08 DEL 05 DE ENERO DE 2016.pdf,DECRETO,8,1,5,2016,2016-01-05,"Por el cual se sustituye el Título 4 de la Parte 1 del Libro 2 del Decreto 1081 de 2015, relativo al ""Plan Anticorrupción y de Atención al Ciudadano."
DECRETO 09 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 09 DEL 05 DE ENERO DE 2016.pdf,DECRETO,9,1,5,2016,2016-01-05,"Por el cual se crea una bonificación para los servidores públicos docentes y directivos docentes al servicio del Estado en los niveles de preescolar, básica y media, que se pagan con cargo al Sistema General de Participaciones, y se dictan otras disposiciones."
DECRETO 06 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 06 DEL 05 DE ENERO DE 2016.pdf,DECRETO,6,1,5,2016,2016-01-05,"Por el cual se modifica la remuneración de los servidores públicos docentes y directivos docentes al servicio del Estado en los niveles de preescolar, básica y media que se rigen por el Decreto Ley 2277 de 1979, Y se dictan otras disposiciones de carácter salarial para el sector educativo estatal."
DECRETO 13 DEL 06 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 13 DEL 06 DE ENERO DE 2016.pdf,DECRETO,13,1,6,2016,2016-01-06,"Por el cual se establece la remuneración de los servidores públicos etnoeducadores docentes y directivos docentes que atiendan población indígena en territorios indígenas, en los niveles de preescolar, básica y media, y se dictan otras disposiciones de carácter salarial."
DECRETO 17 DEL 08 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 17 DEL 08 DE ENERO DE 2016.pdf,DECRETO,17,1,8,2016,2016-01-08,"Por el cual se modifica la remuneración de los servidores públicos docentes y directivos docentes al servicio del Estado en los niveles de preescolar, básica y media que se rigen por el Decreto Ley 1278 de 2002, y se dictan otras disposiciones de carácter salarial para el sector educativo estatal."
DECRETO 38 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 38 DEL 12 DE ENERO DE 2016.pdf,DECRETO,38,1,12,2016,2016-01-12,Por el cual se retira del servicio activo a un Oficial General de la Policía Nacional
DECRETO 35 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 35 DEL 12 DE ENERO DE 2016.pdf,DECRETO,35,1,12,2016,2016-01-12,Por el cual se hace un nombramiento ordinario
DECRETO 36 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 36 DEL 12 DE ENERO DE 2016.pdf,DECRETO,36,1,12,2016,2016-01-12,Por el cual se hace un nombramiento ordinario
DECRETO 37 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 37 DEL 12 DE ENERO DE 2016.pdf,DECRETO,37,1,12,2016,2016-01-12,Por el cual se hace un nombramiento ordinario
DECRETO 24 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 24 DEL 12 DE ENERO DE 2016.pdf,DECRETO,24,1,12,2016,2016-01-12,Por el cual se delegan unas funciones constitucionales
DECRETO 39 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 39 DEL 12 DE ENERO DE 2016.pdf,DECRETO,39,1,12,2016,2016-01-12,Por el cual se reglamenta el artículo 18 del Decreto Ley 4057 de 2011
DECRETO 34 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 34 DEL 12 DE ENERO DE 2016.pdf,DECRETO,34,1,12,2016,2016-01-12,Por el cual se efectúa un nombramiento ordinario
DECRETO 33 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 33 DEL 12 DE ENERO DE 2016.pdf,DECRETO,33,1,12,2016,2016-01-12,Por el cual se modifica y adiciona un Decreto
DECRETO 41 DEL 13 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 41 DEL 13 DE ENERO DE 2016.pdf,DECRETO,41,1,13,2016,2016-01-13,Por el cual se hace un nombramiento provisional en la planta de personal del Ministerio de Relaciones Exteriores
DECRETO 42 DEL 13 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 42 DEL 13 DE ENERO DE 2016.pdf,DECRETO,42,1,13,2016,2016-01-13,Por el cual se hace una incorporación
DECRETO 45 DEL 14 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 45 DEL 14 DE ENERO DE 2016.pdf,DECRETO,45,1,14,2016,2016-01-14,Por medio del cual se acepta una renuncia y se hace un encargo
DECRETO 46 DEL 14 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 46 DEL 14 DE ENERO DE 2016.pdf,DECRETO,46,1,14,2016,2016-01-14,Por el cual se hace un nombramiento ordinario
DECRETO 54 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 54 DEL 15 DE ENERO DE 2016.pdf,DECRETO,54,1,15,2016,2016-01-15,Por el cual se hace un nombramiento ordinario
DECRETO 47 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 47 DEL 15 DE ENERO DE 2016.pdf,DECRETO,47,1,15,2016,2016-01-15,Por el cual se hace un nombramiento ordinario
DECRETO 52 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 52 DEL 15 DE ENERO DE 2016.pdf,DECRETO,52,1,15,2016,2016-01-15,Por el cual se hace un nombramiento ordinario
DECRETO 53 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 53 DEL 15 DE ENERO DE 2016.pdf,DECRETO,53,1,15,2016,2016-01-15,Por el cual se hace un nombramiento ordinario
DECRETO 55 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 55 DEL 15 DE ENERO DE 2016.pdf,DECRETO,55,1,15,2016,2016-01-15,Por el cual se efectúa un ajuste en el Presupuesto General de la Nación para la vigencia fiscal de 2016
DECRETO 58 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 58 DEL 15 DE ENERO DE 2016.pdf,DECRETO,58,1,15,2016,2016-01-15,Por el cual se modifica el artículo 10.6.1.1.2 del Decreto 2555 de 2010 en lo relacionado con el límite de inversión del Fondo Financiero de Proyectos de Desarrollo -Fonade.
DECRETO 56 DEL 15 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 56 DEL 15 DE ENERO DE 2016.pdf,DECRETO,56,1,15,2016,2016-01-15,Por el cual se hace una delegación. 
DECRETO 70 DEL 18 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 70 DEL 18 DE ENERO DE 2016.pdf,DECRETO,70,1,18,2016,2016-01-18,"Por el cual se adiciona el Decreto 1080 de 2015 Único Reglamentario del Sector Cultura, para reglamentar el numeral 8 del artículo 99 de la ley 1617 de 2013, sobre los criterios mínimos generales que tendrán en cuenta los Distritos Especiales para la promoción de la inversión en sus áreas históricas"
DECRETO 104 DEL 21 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 104 DEL 21 DE ENERO DE 2016.pdf,DECRETO,104,1,21,2016,2016-01-21,Por el cual se modifica un decreto 
DECRETO 103 DEL 21 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 103 DEL 21 DE ENERO DE 2016.pdf,DECRETO,103,1,21,2016,2016-01-21,"Por el cual se adiciona el Decreto Único Reglamentario del sector de Tecnologías de la Información y las Comunicaciones, 1078 de 2015, para reglamentar los criterios para la formulación, presentación, aprobación, ejecución y verificación de las obligaciones de hacer como forma de pago por el uso del espectro radioeléctrico "
