Title,Link,Type,Number,Month,Day,Year,Date
DECRETO 03 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 03 DEL 05 DE ENERO DE 2016.pdf,DECRETO,3,1,5,2016,2016-01-05
DECRETO 04 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 04 DEL 05 DE ENERO DE 2016.pdf,DECRETO,4,1,5,2016,2016-01-05
DECRETO 07 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 07 DEL 05 DE ENERO DE 2016.pdf,DECRETO,7,1,5,2016,2016-01-05
DECRETO 08 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 08 DEL 05 DE ENERO DE 2016.pdf,DECRETO,8,1,5,2016,2016-01-05
DECRETO 09 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 09 DEL 05 DE ENERO DE 2016.pdf,DECRETO,9,1,5,2016,2016-01-05
DECRETO 06 DEL 05 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 06 DEL 05 DE ENERO DE 2016.pdf,DECRETO,6,1,5,2016,2016-01-05
DECRETO 13 DEL 06 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 13 DEL 06 DE ENERO DE 2016.pdf,DECRETO,13,1,6,2016,2016-01-06
DECRETO 17 DEL 08 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 17 DEL 08 DE ENERO DE 2016.pdf,DECRETO,17,1,8,2016,2016-01-08
DECRETO 38 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 38 DEL 12 DE ENERO DE 2016.pdf,DECRETO,38,1,12,2016,2016-01-12
DECRETO 35 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 35 DEL 12 DE ENERO DE 2016.pdf,DECRETO,35,1,12,2016,2016-01-12
DECRETO 36 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 36 DEL 12 DE ENERO DE 2016.pdf,DECRETO,36,1,12,2016,2016-01-12
DECRETO 37 DEL 12 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 37 DEL 12 DE ENERO DE 2016.pdf,DECRETO,37,1,12,2016,2016-01-12
